Date,Market Crash
1/1/2022,14
1/2/2022,21
1/3/2022,24
1/4/2022,27
1/5/2022,32
1/6/2022,31
1/7/2022,30
1/8/2022,20
1/9/2022,26
1/10/2022,27
1/11/2022,30
1/12/2022,30
1/13/2022,31
1/14/2022,28
1/15/2022,18
1/16/2022,18
1/17/2022,19
1/18/2022,25
1/19/2022,30
1/20/2022,40
1/21/2022,84
1/22/2022,85
1/23/2022,51
1/24/2022,99
1/25/2022,71
1/26/2022,50
1/27/2022,44
1/28/2022,36
1/29/2022,24
1/30/2022,22
1/31/2022,29
2/1/2022,29
2/2/2022,28
2/3/2022,29
2/4/2022,24
2/5/2022,24
2/6/2022,28
2/7/2022,25
2/8/2022,28
2/9/2022,28
2/10/2022,28
2/11/2022,28
2/12/2022,27
2/13/2022,25
2/14/2022,28
2/15/2022,30
2/16/2022,31
2/17/2022,34
2/18/2022,37
2/19/2022,30
2/20/2022,33
2/21/2022,49
2/22/2022,100
2/23/2022,44
2/24/2022,91
2/25/2022,41
2/26/2022,26
2/27/2022,28
2/28/2022,32
3/1/2022,28
3/2/2022,30
3/3/2022,25
3/4/2022,33
3/5/2022,25
3/6/2022,24
3/7/2022,46
3/8/2022,49
3/9/2022,34
3/10/2022,36
3/11/2022,27
3/12/2022,26
3/13/2022,34
3/14/2022,33
3/15/2022,41
3/16/2022,31
3/17/2022,30
3/18/2022,27
3/19/2022,22
3/20/2022,30
3/21/2022,36
3/22/2022,37
3/23/2022,35
3/24/2022,29
3/25/2022,31
3/26/2022,32
3/27/2022,24
3/28/2022,31
3/29/2022,31
3/30/2022,30
3/31/2022,30
